sample_id	participant_id
PP-3010-SVM12T1	PP-3010
PP-3013-SVM12T1	PP-3013
PP-3016-SVM12T1	PP-3016
PP-3018-SVM12T1	PP-3018
PP-3020-SVM12T1	PP-3020
PP-3021-SVM12T1	PP-3021
PP-3023-SVM12T1	PP-3023
PP-3028-SVM12T1	PP-3028
PP-3050-SVM12T1	PP-3050
PP-3051-SVM12T1	PP-3051
PP-3052-SVM12T1	PP-3052
PP-3053-SVM12T1	PP-3053
PP-3055-SVM12T1	PP-3055
PP-3057-SVM12T1	PP-3057
PP-3058-SVM12T1	PP-3058
PP-3059-SVM12T1	PP-3059
PP-3060-SVM12T1	PP-3060
PP-3061-SVM12T1	PP-3061
PP-3064-SVM12T1	PP-3064
PP-3067-SVM12T1	PP-3067
PP-12224-SVM24T1	PP-12224
PP-13424-SVM24T1	PP-13424
PP-14331-SVM24T1	PP-14331
PP-14426-SVM24T1	PP-14426
PP-3000-SVM24T1	PP-3000
PP-3001-SVM24T1	PP-3001
PP-3003-SVM24T1	PP-3003
PP-3004-SVM24T1	PP-3004
PP-3008-SVM24T1	PP-3008
PP-3009-SVM24T1	PP-3009
PP-3010-SVM24T1	PP-3010
PP-3013-SVM24T1	PP-3013
PP-3016-SVM24T1	PP-3016
PP-3018-SVM24T1	PP-3018
PP-3020-SVM24T1	PP-3020
PP-3021-SVM24T1	PP-3021
PP-3023-SVM24T1	PP-3023
PP-3028-SVM24T1	PP-3028
PP-3050-SVM24T1	PP-3050
PP-3051-SVM24T1	PP-3051
PP-3052-SVM24T1	PP-3052
PP-3053-SVM24T1	PP-3053
PP-3055-SVM24T1	PP-3055
PP-3057-SVM24T1	PP-3057
PP-3058-SVM24T1	PP-3058
PP-3059-SVM24T1	PP-3059
PP-3060-SVM24T1	PP-3060
PP-3061-SVM24T1	PP-3061
PP-3064-SVM24T1	PP-3064
PP-3067-SVM24T1	PP-3067
PP-12224-SVM36T1	PP-12224
PP-13424-SVM36T1	PP-13424
PP-14331-SVM36T1	PP-14331
PP-14426-SVM36T1	PP-14426
PP-3000-SVM36T1	PP-3000
PP-3001-SVM36T1	PP-3001
PP-3003-SVM36T1	PP-3003
PP-3004-SVM36T1	PP-3004
PP-3008-SVM36T1	PP-3008
PP-3009-SVM36T1	PP-3009
PP-3010-SVM36T1	PP-3010
PP-3013-SVM36T1	PP-3013
PP-3016-SVM36T1	PP-3016
PP-3018-SVM36T1	PP-3018
PP-3020-SVM36T1	PP-3020
PP-3021-SVM36T1	PP-3021
PP-3023-SVM36T1	PP-3023
PP-3028-SVM36T1	PP-3028
PP-3050-SVM36T1	PP-3050
PP-3051-SVM36T1	PP-3051
PP-3052-SVM36T1	PP-3052
PP-3053-SVM36T1	PP-3053
PP-3055-SVM36T1	PP-3055
PP-3057-SVM36T1	PP-3057
PP-3058-SVM36T1	PP-3058
PP-3059-SVM36T1	PP-3059
PP-3060-SVM36T1	PP-3060
PP-3061-SVM36T1	PP-3061
PP-3064-SVM36T1	PP-3064
PP-3067-SVM36T1	PP-3067
